Acquirer,1,2,3,4,5
Wintrust Financial,"TGR FINANCIAL, INC.","KRAUSE FINANCIAL, INC.",WOODTRUST FINANCIAL CORP,"SV FINANCIAL, INC.",WINTRUST FINANCIAL CORPORATION
Hamilton Bancorp,"MILTON BANCORP, INC.",HORIZON BANCORP,MISSION BANCORP,WASHINGTON BANCORP,HOMETOWN BANC CORP
Heritagemmerce,"HERITAGE GROUP, INC.","HERITAGE BANCORP, INC.",HERITAGE BANCORP,"HERITAGE BANCSHARES, INC.","HERITAGE MANAGEMENT COMPANY, INC."
Bank of the Ozarks,BANK OF THE OZARKS INC,"BANK OF NOVA SCOTIA, THE",STATE BANK CORP.,FIRST BANK CORP,STATE BANK OF INDIA
Firstmmonwealth Finl,"FIRST WESTERN FINANCIAL, INC.",FIRST PERSONAL FINANCIAL CORP.,"FIRST FINANCIAL NORTHWEST, INC.","FIRST FINANCIAL HOLDING CO., LTD.","NEW MEXICO FIRST FINANCIAL, INC."
Green Bancorp,"GREEN BANCORP, INC.",RESURGENS BANCORP,RSNB BANCORP,SEBREE BANKCORP,FREEDOM BANCORP
Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.","HARTLAND FINANCIAL, INC.","WSB FINANCIAL, LTD","SV FINANCIAL, INC.","FINANCIAL SHARES, INC."
Juniata Valley Financial,JUNIATA VALLEY FINANCIAL CORP.,"RAE VALLEY FINANCIALS, INC.","VALLEY FINANCIAL GROUP, LTD.","LEGACY FINANCIAL, INC.","GLAASS FINANCIAL, LLC"
Premier Finl Bancorp,"PREMIER FINANCIAL BANCORP, INC.",PREMIER FINANCIAL CORP.,"RIVER BANCORP, INC.","PIEPER BANCORP, INC.","PORTER BANCORP, INC."
Independent Bank Group,"INDEPENDENT BANK GROUP, INC.",INDEPENDENT BANK CORP.,INDEPENDENT BANK CORPORATION,INDEPENDENCE BANCCORP,"MIDWEST BANK GROUP, INC."
FNB,"FNB, INC.","UB, INC.",FNB BANCORP,FNB COMPANY,"RBC, INC."
Old Line Bancshares,"OLD LINE BANCSHARES, INC.","ODIN BANCSHARES, INC.","ODEM BANCSHARES, INC.","TODD BANCSHARES, INC.","ROYAL BANCSHARES, INC."
BB&T,"KSB, LTD.",BBS CORP.,BBJ INCORPORATED,TPB BANCORP,BB&T CORPORATION
California Bank ofmmerce,"BANC OF CALIFORNIA, INC.",CALIFORNIA REPUBLIC BANCORP,SECURITY CALIFORNIA BANCORP,"NORTHERN CALIFORNIA BANCORP, INC.",CANADIAN IMPERIAL BANK OF COMMERCE
Republic Bancorp,REPUBLIC BANCORP CO.,"REPUBLIC BANCORP, INC.","ESB BANCORP, INC.","REPUBLIC FIRST BANCORP, INC.",RBB BANCORP
Revere Bank,PINE RIVER BANK CORP.,SEBREE BANKCORP,RIVER VALLEY BANCORP,WOORI BANK,"RIVER BANCORP, INC."
Renasant,RENASANT CORPORATION,"SAINT CLAIR AGENCY, INC.","SARGENT BANKSHARES, INC.","SAINT MARTIN BANCSHARES, INC.","SWANTON AGENCY, INC."
Fidelity Southern,FIDELITY SOUTHERN CORPORATION,"SOUTHWEST SECURITY, INC.","FIRST FIDELITY BANCORP, INC.","FIRST SOUTHERN BANCORP, INC.",FIDELITY HOLDING COMPANY
Seacoast Bankg of Florida,"BANK OF NOVA SCOTIA, THE",STATE BANK OF INDIA,"COMMUNITY BANK OF SOUTH FLORIDA, INC.",COAST BANCORP,"BRANNEN BANKS OF FLORIDA, INC."
United Bankshares,"UNITED BANKSHARES, INC.","UNITED BANCSHARES, INC.","PIPER BANKSHARES, INC.","GN BANKSHARES, INC.","STATE BANKSHARES, INC."
Hanmi Financial,"MB FINANCIAL, INC.","HARTLAND FINANCIAL, INC.","MSB FINANCIAL, INC.","HOHL FINANCIAL, INC.",HAINES FINANCIAL CORP
Great Western Bancorp,"GREAT SOUTHERN BANCORP, INC.","WESTERN BANCORPORATION, INC.","GREATER ROCHESTER BANCORP, INC.","EAST WEST BANCORP, INC.",WEST BEND BANCORP.
BOK Financial,BNH FINANCIAL,CBB FINANCIAL CORP.,"CBOA FINANCIAL, INC.",CBT FINANCIAL CORP.,AMB FINANCIAL CORP.
